,fake,company_id,industry_id,domain_id,country_id,bias_id,factual_id
0,2,0,0,0,0,0,0
1,1,54,2,0,0,0,0
2,1,70,2,0,0,0,0
3,1,30,3,0,0,0,0
4,1,4,4,0,0,0,0
5,1,39,6,0,0,0,0
6,8,0,0,3,0,0,0
7,5,13,0,3,0,0,0
8,4,16,0,3,0,0,0
9,1,36,0,3,0,0,0
10,1,40,0,3,0,0,0
11,1,77,0,3,0,0,0
12,2,1,1,3,0,0,0
13,7,5,1,3,0,0,0
14,2,53,1,3,0,0,0
15,5,68,1,3,0,0,0
16,3,86,1,3,0,0,0
17,21,7,2,3,0,0,0
18,17,54,2,3,0,0,0
19,2,70,2,3,0,0,0
20,1,19,3,3,0,0,0
21,2,30,3,3,0,0,0
22,2,47,3,3,0,0,0
23,16,57,3,3,0,0,0
24,1,71,3,3,0,0,0
25,2,74,3,3,0,0,0
26,12,4,4,3,0,0,0
27,1,43,4,3,0,0,0
28,1,50,4,3,0,0,0
29,1,67,4,3,0,0,0
30,2,78,4,3,0,0,0
31,1,79,4,3,0,0,0
32,4,88,4,3,0,0,0
33,1,38,5,3,0,0,0
34,13,46,5,3,0,0,0
35,23,24,6,3,0,0,0
36,60,39,6,3,0,0,0
37,5,75,6,3,0,0,0
38,1,27,7,3,0,0,0
39,1,49,7,3,0,0,0
40,1,61,7,3,0,0,0
41,2,32,8,3,0,0,0
42,1,33,8,3,0,0,0
43,1,72,8,3,0,0,0
44,1,0,0,4,0,0,0
45,1,13,0,4,0,0,0
46,3,16,0,4,0,0,0
47,1,36,0,4,0,0,0
48,1,51,0,4,0,0,0
49,1,1,1,4,0,0,0
50,1,7,2,4,0,0,0
51,4,54,2,4,0,0,0
52,2,65,2,4,0,0,0
53,1,84,2,4,0,0,0
54,3,19,3,4,0,0,0
55,19,30,3,4,0,0,0
56,3,4,4,4,0,0,0
57,1,15,4,4,0,0,0
58,1,50,4,4,0,0,0
59,4,67,4,4,0,0,0
60,68,39,6,4,0,0,0
61,1,75,6,4,0,0,0
62,1,58,7,4,0,0,0
63,2,72,8,4,0,0,0
64,3,0,0,6,0,0,0
65,7,13,0,6,0,0,0
66,1,16,0,6,0,0,0
67,3,56,0,6,0,0,0
68,1,77,0,6,0,0,0
69,6,69,1,6,0,0,0
70,1,7,2,6,0,0,0
71,22,54,2,6,0,0,0
72,1,65,2,6,0,0,0
73,3,19,3,6,0,0,0
74,6,4,4,6,0,0,0
75,1,15,4,6,0,0,0
76,1,43,4,6,0,0,0
77,1,78,4,6,0,0,0
78,16,46,5,6,0,0,0
79,13,39,6,6,0,0,0
80,1,75,6,6,0,0,0
81,2,72,8,6,0,0,0
82,1,0,0,9,0,0,0
83,7,13,0,9,0,0,0
84,12,16,0,9,0,0,0
85,1,36,0,9,0,0,0
86,1,37,0,9,0,0,0
87,9,56,0,9,0,0,0
88,3,77,0,9,0,0,0
89,6,1,1,9,0,0,0
90,15,5,1,9,0,0,0
91,14,7,2,9,0,0,0
